Name,Facebook,Twitter,Wikipedia
Katy Perry,katyperry,katyperry,Katy_Perry
Justin Bieber,JustinBieber,justinbieber,Justin_Bieber
Barack Obama,barackobama,BarackObama,Barack_Obama
Taylor Swift,TaylorSwift,taylorswift13,Taylor_Swift
Rihanna,rihanna,rihanna,Rihanna
YouTube,youtube,YouTube,YouTube
Ellen DeGneres (The Ellen Show),ellentv,TheEllenShow,Ellen_DeGeneres
Lady Gaga,ladygaga,ladygaga,Lady_Gaga
Twitter,TwitterInc,Twitter,Twitter
Justin Timberlake,justintimberlake,jtimberlake,Justin_Timberlake
Britney Spears,britneyspears,britneyspears,Britney_Spears
Cristiano Ronaldo,Cristiano,Cristiano,Cristiano_Ronaldo
Kim Kardashian,KimKardashian,KimKardashian,Kim_Kardashian
CNN Breaking News,cnn,cnnbrk,CNN
Selena Gomez,Selena,selenagomez,Selena_Gomez
Jimmy Fallon,JimmyFallon,jimmyfallon,Jimmy_Fallon
Shakira,shakira,shakira,Shakira
Demi Lovato,DemiLovato,ddlovato,Demi_Lovato
Jennifer Lopez,jenniferlopez,JLo,Jennifer_Lopez
Instagram,InstagramEnglish,instagram,Instagram
Oprah Winfrey,oprahwinfrey,Oprah,Oprah_Winfrey
New York Times,nytimes,nytimes,The_New_York_Times
LeBron James,LeBron,KingJames,LeBron_James
Drake,Drake,Drake,Drake_(entertainer)
Bill Gates,BillGates,BillGates,Bill_Gates
Kevin Hart,hartkevin,KevinHart4real,Kevin_Hart
Miley Cyrus,MileyCyrus,MileyCyrus,Miley_Cyrus
SportsCenter,SportsCenter,SportsCenter,SportsCenter
One Direction,onedirectionmusic,onedirection,One_Direction
ESPN,ESPN,espn,ESPN
Harry Styles,HarryStyles,Harry_Styles,One_Direction
Lil Wayne,LilWayne,LilTunechi,Lil_Wayne
Pink,pink,Pink,Pink_(singer)
Wiz Khalifa,wizkhalifa,wizkhalifa,Wiz_Khalifa
Niall Horan,Niallofficial,NiallOfficial,One_Direction
Bruno Mars,brunomars,BrunoMars,Bruno_Mars
Donald J. Trump,DonaldTrump,realDonaldTrump,Donald_Trump
Neymar,neymarjr,neymarjr,Neymar
Adele,adele,Adele,Adele_(singer)
Kanye West,TheOfficialKanyeWest,kanyewest,Kanye_West
Ricardo Kakà,Kaka,KAKA,Kaká
Amitabh Bachchan,AmitabhBachchan,SrBachchan,Amitabh_Bachchan
Neil Patrick Harris,nph,ActuallyNPH,Neil_Patrick_Harris
Daniel Tosh (Tosh.0),toshpoint0,danieltosh,Daniel_Tosh
Alicia Keys,aliciakeys,aliciakeys,Alicia_Keys
NBA,nba,NBA,National_Basketball_Association
Shah Rukh Khan,IamSRK,iamsrk,Shahrukh_Khan
Emma Watson,emmawatson,EmmaWatson,Emma_Watson
Louis Tomlinson,louis.tomlinson,Louis_Tomlinson,One_Direction
Pitbull,pitbull,pitbull,Pitbull_(rapper)
Liam Payne,LiamPayne,LiamPayne,One_Direction
Khloe Kardashian,KhloeKardashian,khloekardashian,Khlo%C3%A9_Kardashian
NASA,NASA,NASA,NASA
Real Madrid CF,RealMadrid,realmadrid,Real_Madrid_C.F.
Conan O' Brien,teamcoco,ConanOBrien,Conan_O'Brien
Kourtney Kardashian,KourtneyKardashian,kourtneykardash,Kourtney_Kardashian
NFL,NFL,NFL,National_Football_League
Zayn Malik,Zayn,zaynmalik,One_Direction
Kendall Jenner,KendallJenner,KendallJenner,Kendall_Jenner
David Guetta,DavidGuetta,davidguetta,David_Guetta
FC Barcelona,fcbarcelona,FCBarcelona,FC_Barcelona
Eminem,eminem,Eminem,Eminem
Nicki Minaj,nickiminaj,NICKIMINAJ,Nicki_Minaj
Avril Lavigne,avrillavigne,AvrilLavigne,Avril_Lavigne
Aamir Khan,aamirkhan.com,aamir_khan,Aamir_Khan
The Economist,TheEconomist,TheEconomist,The_Economist
Coldplay,coldplay,coldplay,Coldplay
Chris Brown,chrisbrown,chrisbrown,Chris_Brown_(American_singer)
BBC World News,bbcnews,BBCWorld,BBC_World_News
Ashton Kutcher,Ashton,aplusk,Ashton_Kutcher
Mariah Carey,mariahcarey,MariahCarey,Mariah_Carey
Google,Google,Google,Google
Reuters,Reuters,Reuters,Reuters
Leonardo DiCaprio,LeonardoDiCaprio,LeoDiCaprio,Leonardo_DiCaprio
Ricky Martin,RickyMartinOfficialPage,ricky_martin,Ricky_Martin
Priyanka Chopra,priyankachopra,priyankachopra,Priyanka_Chopra
National Geographic,natgeo,NatGeo,National_Geographic_(magazine)
Snoop Dogg,snoopdogg,SnoopDogg,Snoop_Dogg
Agnes Monica,agnezmo,agnezmo,Agnes_Monica
Christina Aguilera,christinaaguilera,xtina,Christina_Aguilera
Alejandro Sanz,ASanzOficial,AlejandroSanz,Alejandro_Sanz
Ryan Seacrest,onairwithryanseacrest,RyanSeacrest,Ryan_Seacrest
Andres Iniesta,AndresIniesta,andresiniesta8,Andr%C3%A9s_Iniesta
Sachin Tendulkar,SachinTendulkar,sachin_rt,Sachin_Tendulkar
Kevin Durant,KevinDurant,KDTrey5,Kevin_Durant
Jim Carrey,,JimCarrey,Jim_Carrey
Ivete Sangalo,ivetesangalo,ivetesangalo,Ivete_Sangalo
MTV,MTV,MTV,MTV
Beyonce,beyonce,Beyonce,Beyonce
Paris Hilton,parishilton,ParisHilton,Paris_Hilton
Ronaldinho Gaucho,ronaldinho,10Ronaldinho,Ronaldinho
Gerard Piqué,3GerardPique,3gerardpique,Gerard_Piqu%C3%A9
Wayne Rooney,WayneRooney,WayneRooney,Wayne_Rooney
Fox News,FoxNews,FoxNews,Fox_News
Funny Or Die,funnyordie,funnyordie,Funny_or_Die
Facebook,facebook,facebook,Facebook
Tyra Banks,TyraBanks,tyrabanks,Tyra_Banks
Maroon 5,maroon5,maroon5,Maroon_5
